row,strategy,correct,cost,n_tests,total
0,probe,True,4.0,2,4.0
0,all,True,22.0,10,22.0
0,cheapest,True,22.0,10,22.0
0,random,True,22.0,10,22.0
1,probe,True,4.0,2,4.0
1,all,True,22.0,10,22.0
1,cheapest,True,22.0,10,22.0
1,random,True,22.0,10,22.0
2,probe,True,4.0,2,4.0
2,all,True,22.0,10,22.0
2,cheapest,True,22.0,10,22.0
2,random,True,22.0,10,22.0
3,probe,False,4.0,2,5.0
3,all,True,22.0,10,22.0
3,cheapest,True,22.0,10,22.0
3,random,True,22.0,10,22.0
4,probe,True,4.0,2,4.0
4,all,True,22.0,10,22.0
4,cheapest,True,22.0,10,22.0
4,random,True,22.0,10,22.0
5,probe,True,4.0,2,4.0
5,all,True,22.0,10,22.0
5,cheapest,True,22.0,10,22.0
5,random,True,22.0,10,22.0
6,probe,True,4.0,2,4.0
6,all,True,22.0,10,22.0
6,cheapest,True,22.0,10,22.0
6,random,True,22.0,10,22.0
7,probe,True,4.0,2,4.0
7,all,True,22.0,10,22.0
7,cheapest,True,22.0,10,22.0
7,random,True,22.0,10,22.0
8,probe,True,4.0,2,4.0
8,all,True,22.0,10,22.0
8,cheapest,True,22.0,10,22.0
8,random,True,22.0,10,22.0
9,probe,True,4.0,2,4.0
9,all,True,22.0,10,22.0
9,cheapest,True,22.0,10,22.0
9,random,True,22.0,10,22.0
10,probe,True,4.0,2,4.0
10,all,True,22.0,10,22.0
10,cheapest,True,22.0,10,22.0
10,random,True,22.0,10,22.0
11,probe,True,4.0,2,4.0
11,all,True,22.0,10,22.0
11,cheapest,True,22.0,10,22.0
11,random,True,22.0,10,22.0
12,probe,False,1.0,1,2.0
12,all,True,22.0,10,22.0
12,cheapest,True,22.0,10,22.0
12,random,True,22.0,10,22.0
13,probe,True,4.0,2,4.0
13,all,True,22.0,10,22.0
13,cheapest,True,22.0,10,22.0
13,random,True,22.0,10,22.0
14,probe,True,4.0,2,4.0
14,all,True,22.0,10,22.0
14,cheapest,True,22.0,10,22.0
14,random,True,22.0,10,22.0
15,probe,True,4.0,2,4.0
15,all,True,22.0,10,22.0
15,cheapest,True,22.0,10,22.0
15,random,True,22.0,10,22.0
16,probe,True,4.0,2,4.0
16,all,True,22.0,10,22.0
16,cheapest,True,22.0,10,22.0
16,random,True,22.0,10,22.0
17,probe,True,4.0,2,4.0
17,all,True,22.0,10,22.0
17,cheapest,True,22.0,10,22.0
17,random,True,22.0,10,22.0
18,probe,True,4.0,2,4.0
18,all,True,22.0,10,22.0
18,cheapest,True,22.0,10,22.0
18,random,True,22.0,10,22.0
19,probe,False,6.0,3,7.0
19,all,False,22.0,10,23.0
19,cheapest,False,22.0,10,23.0
19,random,False,22.0,10,23.0
